comment,processed,baku_cleared,label_manual
syarat guna bijak tuju kotak tuju centang layar tidak bisa dinaikkin proses mohon saran updatenya baru,syarat guna bijak tuju kotak tuju centang layar tidak bisa dinaikkin proses mohon saran updatenya,syarat guna bijak tuju kotak tuju centang layar tidak bisa proses mohon saran,-1
informasi atur jalan aplikasi update update tulis september atur aspek rasio tampil antarmuka mulai guna aplikasi tidak dinamis beberapa guna hp sulit login tidak bisa tekan tombol bawah,informasi atur jalan aplikasi update update tulis september atur aspek rasio tampil antarmuka guna aplikasi tidak dinamis guna hp sulit login tidak bisa tekan tombol,informasi atur jalan aplikasi tulis september atur aspek rasio tampil antarmuka guna aplikasi tidak dinamis guna sulit tidak bisa tekan tombol,-1
serifikat vaksin lama vaksin ada abis vaksin sertifikat prtama ilang sertifikat tidak dpt dpt respon kasi tau liat sertifikat apa ngasi tau saya udh tau biar liat pinter gausah suruh telpon udh tidak angkat,serifikat vaksin vaksin abis vaksin sertifikat prtama ilang sertifikat tidak dpt dpt respon kasi tau liat sertifikat ngasi tau udh tau biar liat pinter gausah suruh telpon udh tidak angkat,vaksin vaksin abis vaksin sertifikat sertifikat tidak kasi tau liat sertifikat tau tau biar liat suruh telpon tidak angkat,-1
mau masuk stuck syarat guna repot,masuk stuck syarat guna repot,masuk syarat guna repot,-1
tidak uda d checklist syarat ny tau tidak bisa d akhirny bisa donlod ulang,tidak uda d checklist syarat ny tau tidak bisa d akhirny bisa donlod ulang,tidak uda syarat tau tidak bisa bisa ulang,-1
sampah buka sertifikat,sampah buka sertifikat,sampah buka sertifikat,-1
tidak bisa login sdh bisa login,tidak bisa login sdh bisa login,tidak bisa bisa,-1
tidak bisa buka aplikasi,tidak bisa buka aplikasi,tidak bisa buka aplikasi,-1
t gulir tuju tombol,t gulir tuju tombol,gulir tuju tombol,-1
lokasi mulu,lokasi mulu,lokasi,-1
kerja sangat baik tidak masalah sekali operasi aplikasi keren aplikasi,kerja baik tidak sekali operasi aplikasi keren aplikasi,kerja baik tidak operasi aplikasi keren aplikasi,1
terkadang acau,terkadang acau,terkadang acau,-1
aplikasi buruk pernah,aplikasi buruk,aplikasi buruk,-1
cepat mudah guna simpel tidak makan memori,cepat mudah guna simpel tidak makan memori,cepat mudah guna simpel tidak makan memori,1
aplikasi apa yg vaksin luar negeri guna passport mau data pedulilindungin yg nongol suruh masuk nik ada pilih nik passport pikir rakyat indonesia di dal negeri baik itu aplikasi nya warga indonesia yg luar negeri bisa transfer data vaksin guna passport suruh masuk nik gimana yg vaksin guna passport masak kita harus vaksin ulang guna nik gitu,aplikasi vaksin luar negeri guna passport data pedulilindungin nongol suruh masuk nik pilih nik passport pikir rakyat indonesia dal negeri baik aplikasi nya warga indonesia luar negeri bisa transfer data vaksin guna passport suruh masuk nik gimana yang vaksin guna passport masak harus vaksin ulang guna nik gitu,aplikasi vaksin luar negeri guna data nongol suruh masuk nik pilih nik pikir rakyat indonesia dal negeri baik aplikasi warga indonesia luar negeri bisa transfer data vaksin guna suruh masuk nik vaksin guna masak vaksin ulang guna nik,-1
tidak guna,tidak guna,tidak guna,-1
travel regulationnya tolong update min tampil yg sederhana bagus,travel regulationnya tolong update min tampil sederhana bagus,tolong min tampil sederhana bagus,1
aplikasi nya tidak bisa scroll,aplikasi nya tidak bisa scroll,aplikasi tidak bisa,-1
sertifikat vaksin tidak temu krn nik salah vaksin bisa access sertifikat nik mah nomor hp betul aktif hari telah vaksin trnyata data salah aneh telp cs sibuk tidak bisa kirim whatsapp adu jg tidak jawab bulan sampai skarang tolong serius tanggap dan tunggu solusi terimakasih,sertifikat vaksin tidak temu nik salah vaksin bisa access sertifikat nik mah nomor hp aktif telah vaksin trnyata data salah aneh telp cs sibuk tidak bisa kirim whatsapp adu jg tidak bulan skarang tolong serius tanggap tunggu solusi terimakasih,sertifikat vaksin tidak temu nik salah vaksin bisa sertifikat nik mah nomor aktif vaksin data salah aneh sibuk tidak bisa kirim adu tidak skarang tolong serius tanggap tunggu solusi,-1
guna telah tuju syarat tombol login sign up tidak terimakasih kasih,guna tuju syarat tombol login sign up tidak terimakasih kasih,guna tuju syarat tombol tidak kasih,-1
hasil test covid aplikasi hilang jadi bagi sy waktu chekin maskapai untung sy screen shoot hasil testnya,hasil test covid aplikasi hilang bagi sy chekin maskapai untung sy screen shoot hasil testnya,hasil aplikasi hilang waktu maskapai untung hasil,-1
terupdate otorisasi update tampil ubah total makin susah scan qr code nya fail terus scan qr semenjak update,terupdate otorisasi update tampil ubah total susah scan qr code nya fail scan qr semenjak update,otorisasi tampil ubah total susah fail qr semenjak,-1
tidak bisa hp layar inci suruh klik i tuju tuju layar tidak bisa geser atas tidak bisa klik bad design,tidak bisa hp layar inci suruh klik i tuju tuju layar tidak bisa geser tidak bisa klik bad design,tidak bisa layar inci suruh klik tuju tuju layar tidak bisa geser tidak bisa klik bad,-1
accept button nya manaaaa pilih warga negara tombol nya tidak ngawur regulasi yg susah kerja org,accept button nya manaaaa pilih warga negara tombol nya tidak ngawur regulasi susah kerja org,manaaaa pilih warga negara tombol tidak regulasi susah kerja,-1
aplikasi buruk sudah coba konfirmasi saya vaksinasi aplikasi terus saya konfirmasi,aplikasi buruk coba konfirmasi vaksinasi aplikasi saya konfirmasi,aplikasi buruk coba konfirmasi vaksinasi aplikasi konfirmasi,-1
susah,susah,susah,-1
tidak unduh sertifikat vaksin ketika laku periksa kartu id status valid absurd bodoh guna standar nasional harap dan basis data anda dan buat ui lebih baik tidak otp dan dengan login lansia tidak paham,tidak unduh sertifikat vaksin laku periksa kartu id status valid absurd bodoh guna standar nasional harap basis data ui baik tidak otp dan dengan login lansia tidak paham,tidak unduh sertifikat vaksin laku periksa kartu status valid absurd bodoh guna standar nasional harap basis data ui baik tidak login lansia tidak paham,-1
tidak bisa operasi,tidak bisa operasi,tidak bisa operasi,-1
anjing baik,anjing baik,anjing baik,0
useless perbaikin bugnya tidak bisa daftar gajelas,useless perbaikin bugnya tidak bisa daftar gajelas,tidak bisa daftar,-1
kerja sementara tetapi selalu merah tidak vaksinasi tetapi bawah status vac?ne dua sertifikat,kerja merah tidak vaksinasi tetapi bawah status vac ne sertifikat,kerja merah tidak vaksinasi bawah status sertifikat,0
tidak bisa download sertifikat,tidak bisa download sertifikat,tidak bisa sertifikat,-1
kali ingin check out tempat keluar aplikasi ketika kembali aplikasi tidak check out tempat saya nyala lokasi ot bahwa sesuatu salah lokasi dan juga kode otp kirim pesan selalu lambat,kali check out keluar aplikasi kembali aplikasi tidak check out saya nyala lokasi ot sesuatu salah lokasi juga kode otp kirim pesan lambat,kali aplikasi aplikasi tidak out saya nyala lokasi salah lokasi kode kirim pesan lambat,-1
tolong guna padan bahasa indonesia istilah asing scan pindai home beranda diary hari qr code kode qr terimakasih kasih guna riwayat history,tolong guna padan bahasa indonesia istilah asing scan pindai home beranda diary qr code kode qr terimakasih kasih guna riwayat history,tolong guna padan bahasa indonesia istilah asing pindai beranda code kode kasih guna riwayat,0
otp otp otp otp otp otp,otp otp otp otp otp otp,otp,0
tidak bisa masuk tanggal lahir,tidak bisa masuk tanggal lahir,tidak bisa masuk tanggal lahir,-1
user experience nyaman,user experience nyaman,nyaman,-1
oke,oke,oke,-1
tidak bisa scroll bawah klik tuju buat daftar baik bug nya,tidak bisa scroll klik tuju daftar baik bug nya,tidak bisa klik tuju daftar baik,-1
maaf beri bintang krn saya scroll bawah tuju syarat bijak tidak bis stagnan situ mohon solusi bila sya buka aplikasi peduli lindung minta ulang status wn cape dehhh,maaf bintang saya scroll tuju syarat bijak tidak bis stagnan situ mohon solusi sya buka aplikasi peduli lindung ulang status wn cape dehhh,maaf bintang bawah tuju syarat bijak tidak bis stagnan situ mohon solusi buka aplikasi peduli lindung ulang status cape,-1
perlu aktif lokasi guna respons otp lama,aktif lokasi guna respons otp,aktif lokasi guna respons,-1
bad adalah bbrp kendala suka check out baru check in check out mau check in tp gagal krn titik lokasi tidak lokasi lokasi diupdate tolong baik ya,bad bbrp kendala suka check out check in check out check in tp gagal titik lokasi tidak lokasi lokasi diupdate tolong baik ya,bad kendala suka out check gagal titik lokasi tidak lokasi lokasi tolong baik,-1
eh tolong hasil downloadan sertifikat vaksin direct keman ya kasih tau harus nyari ngecekin folder,eh tolong hasil downloadan sertifikat vaksin direct keman ya kasih tau nyari ngecekin folder,tolong hasil sertifikat vaksin keman kasih tau folder,-1
error running app bikin data boros permission nya bikin data bocor,error running app bikin data boros permission nya bikin data bocor,bikin data boros bikin data bocor,-1
tidak kerja,tidak kerja,tidak kerja,-1
kontak email tidak fungsi sertifikat vaksin hanya data sudah selesai vaksin bulan lalu,kontak email tidak fungsi sertifikat vaksin data selesai vaksin lalu,kontak email tidak fungsi sertifikat vaksin data selesai vaksin,-1
logout paksa gagal scan qr pesan sesi habis mau login tidak bisa mentok layar tuju guna user agreement centang tuju tp tidak ubah tombol next pindah laman juga tidak kalau app emg belum stabil tidak bilang sudah update sudah update yg baru benerin tidak banyak cingcong wajib make tp tidak bener,logout paksa gagal scan qr pesan sesi habis login tidak bisa mentok layar tuju guna user agreement centang tuju tp tidak ubah tombol next pindah laman tidak app emg stabil tidak bilang update update baru benerin tidak cingcong wajib make tp tidak bener,paksa gagal pesan sesi habis tidak bisa mentok layar tuju guna centang tuju tidak ubah tombol pindah laman tidak belum stabil tidak bilang update tidak wajib tidak,-1
update aplikasi malah tidak bisa akses aplikasi sekali anggap daftar terang salah sila coba bagaimana solusi update nov wib coba daftar ulang gagal mohon baik karena menganggu saya update nov wib aplikasi sudah bisa guna baik terimakasih kasih,update aplikasi tidak bisa akses aplikasi anggap daftar terang salah sila coba solusi update nov wib coba daftar ulang gagal mohon baik menganggu update nov wib aplikasi bisa guna baik terimakasih kasih,aplikasi tidak bisa akses aplikasi anggap daftar terang salah sila coba solusi coba daftar ulang gagal mohon baik update wib aplikasi bisa guna baik kasih,-1
notifikasi hilang udah ulang kali restart tetep tidak muncul check in tidak bisa bilang tidak radius posisi dan barcodenya mas deketan masih bisa scan tidak bisa scan barcode hmmm,notifikasi hilang udah ulang kali restart tetep tidak muncul check in tidak bisa bilang tidak radius posisi barcodenya mas deketan bisa scan tidak bisa scan barcode hmmm,notifikasi hilang ulang kali tidak muncul tidak bisa bilang tidak radius posisi mas bisa tidak bisa,-1
sering error nya pada fungsi,error nya fungsi,pada fungsi,0
payah bgt aplikasi dipake scan location tidak terus sinyal bagus location hp udh bener mesti ulang kali saya pagi kalo check in kantor baru tidak ini aplikasi,payah bgt aplikasi dipake scan location tidak sinyal bagus location hp udh bener mesti ulang kali pagi kalo check in kantor tidak aplikasi,payah aplikasi tidak sinyal bagus bener mesti ulang kali pagi kalo kantor tidak aplikasi,-1
henti fortunetly,henti fortunetly,henti,-1
tolong tingkat itu scan qr tengah mati scan kode tulis radius tiap saya via qr,tolong tingkat scan qr mati scan kode tulis radius saya via qr,tolong tingkat mati kode tulis radius via,-1
tb logout sndri aplikasi babi,tb logout sndri aplikasi babi,aplikasi babi,-1
download ingin daftar tidak bisa muncul salah coba telah coba tidak bisa harus gimanaaa,download daftar tidak bisa muncul salah coba coba tidak bisa gimanaaa,daftar tidak bisa muncul salah coba coba tidak bisa,-1
aplikasi tidak bisa guna scan barcode kuota tapi tidak bisa check in cek bukti vaksin minta isi nik data isi lengkap isi ulang malah notif salah padahal data nik yg masuk lengkap,aplikasi tidak bisa guna scan barcode kuota tidak bisa check in cek bukti vaksin isi nik data isi lengkap isi ulang notif salah data nik masuk lengkap,aplikasi tidak bisa guna kuota tidak bisa cek bukti vaksin isi nik data isi lengkap isi ulang salah data nik masuk lengkap,-1
udah akun selalu masuk login sudah pakai email yg daftar tidak bisa login,udah akun masuk login pakai email daftar tidak bisa login,akun masuk pakai email daftar tidak bisa,-1
ca even login to this app keep saying salah silah coba,ca even login to this app keep saying salah silah coba,to saying salah silah coba,-1
salah waktu coba masuk usaha pindai barcode selalu pemberitahuan habis radius istana posisi benar google map dan tidak buka aplikasi jadi saya uninstalasi dan putar ulang di ponsel saya tetapi saya tidak bisa verifikasi email email saya begitu banyak yang coba dan gagal baik,salah coba masuk usaha pindai barcode pemberitahuan habis radius istana posisi google map tidak buka aplikasi uninstalasi putar ulang ponsel tetapi tidak bisa verifikasi email email saya begitu yang coba gagal baik,salah coba masuk usaha pindai habis radius istana posisi map tidak buka aplikasi putar ulang tetapi tidak bisa verifikasi email email begitu coba gagal baik,-1
beban aplikasi adalah lambat,beban aplikasi lambat,beban aplikasi lambat,-1
tidak masuk ubah perangkat,tidak masuk ubah perangkat,tidak masuk ubah perangkat,-1
aplikasi bagus sih tp ya suka error,aplikasi bagus sih tp ya suka error,aplikasi bagus sih suka,0
apps buruk baik hapus aja google waktu orang apps gagal apps loading forever org emosi,apps buruk baik hapus aja google orang apps gagal apps loading forever org emosi,buruk baik hapus aja orang gagal org emosi,-1
tidak daftar coba daftar pesan salah bahasa indonesia muncul orang asing coba terbang indonesia saya harus guna aplikasi keri orang indonesia laku baik kerja baik,tidak daftar coba daftar pesan salah bahasa indonesia muncul orang asing coba terbang indonesia harus guna aplikasi keri orang indonesia laku baik kerja baik,tidak daftar coba daftar pesan salah bahasa indonesia muncul orang asing coba terbang indonesia guna aplikasi keri orang indonesia laku baik kerja baik,-1
tidak regist aplikasi tidak guna aplikasi kata telah otp kali fakta saya tidak pergi halaman otp lol,tidak regist aplikasi tidak guna aplikasi telah otp kali fakta tidak pergi halaman otp lol,tidak aplikasi tidak guna aplikasi kali fakta tidak pergi halaman,-1
aplikasi suka tidak bisa akses saat servernya diupgrade,aplikasi suka tidak bisa akses servernya diupgrade,aplikasi suka tidak bisa akses,-1
telah tidak bisa dipake,tidak bisa dipake,tidak bisa,-1
update tidak bisa pakai launching update tidak test kali ya,update tidak bisa pakai launching update tidak test kali ya,tidak bisa pakai tidak kali,-1
log out waktu log in ulang tidak daftar,log out log in ulang tidak daftar,log log ulang tidak daftar,-1
halo kemenkes sy ide apps buat kompetisi jalan sehat hadiah indonesia yg bisa tracking langkah jumlah biar sehat juga imun terimakasih ya,halo kemenkes sy ide apps kompetisi jalan sehat hadiah indonesia bisa tracking langkah biar sehat imun terimakasih ya,halo ide kompetisi jalan sehat hadiah indonesia bisa langkah biar sehat imun,0
aplikasi idiot banyak bug saya tidak guna baik,aplikasi idiot bug tidak guna baik,aplikasi idiot tidak guna baik,-1
aplikasi tidak bisa masuk menu itu sendiri harap baik,aplikasi tidak bisa masuk menu sendiri harap baik,aplikasi tidak bisa masuk menu harap baik,-1
aplikasi tidak ubah update bener error mulu,aplikasi tidak ubah update bener error mulu,aplikasi tidak ubah mulu,-1
gile lu ndro kaga nge scan apps buang buang gw ajh gate udh restart hp kaga mempan,gile lu ndro kaga nge scan apps buang buang gw ajh gate udh restart hp kaga mempan,scan buang buang udh kaga mempan,-1
update jadi lol lot lebih baik lama mohon baik,update lol lot baik mohon baik,lot baik mohon baik,0
aplikasi error,aplikasi error,aplikasi,-1
mau implementasi transjakarta mohon relook ya kerja app nya bisa cepat sering banget tinggal busway check in dlu tj checkin gagal karna app dan qr nya jg tidak bisa scan,implementasi transjakarta mohon relook ya kerja app nya bisa cepat banget tinggal busway check in dlu tj checkin gagal app qr nya jg tidak bisa scan,implementasi mohon kerja bisa cepat banget tinggal dlu gagal qr jg tidak bisa,-1
susah,susah,susah,-1
diupdate lama connect servernya,diupdate connect servernya,servernya,-1
informasi yg input bisa ubah ya app sangat tidak bisa andal verifikasi nama nik perempuan eh summary tidak itu opsi airplane detail sudah isi lengkap car jam terbang jg ubah saya coba edit tidak wtf gmn bener tracking covid aplikasi yg pakai aja tidak banyak korupsi anggar aplikasi sampah aja,informasi input bisa ubah ya app tidak bisa andal verifikasi nama nik perempuan eh summary tidak opsi airplane detail isi lengkap car jam terbang jg ubah coba edit tidak wtf gmn bener tracking covid aplikasi pakai aja tidak korupsi anggar aplikasi sampah aja,informasi bisa ubah tidak bisa andal verifikasi nama nik perempuan tidak opsi detail isi lengkap jam terbang ubah coba edit tidak tracking aplikasi pakai aja tidak korupsi anggar aplikasi sampah aja,-1
rusak pun program aplikasi harus pikir pilih hidup yang buruk,rusak program aplikasi pikir pilih hidup buruk,rusak program aplikasi pikir pilih hidup buruk,-1
nama lengkap bilang tidak valid lokasi selalu nyala tidak opsi langsung aju data informasi saya vaksin versi opsi cek zonasi hilang sulit check in di luar radius,nama lengkap bilang tidak valid lokasi nyala tidak opsi langsung aju data informasi vaksin versi opsi cek zonasi hilang sulit check in luar radius,nama lengkap bilang tidak valid lokasi nyala tidak opsi langsung aju data informasi vaksin versi opsi cek zonasi hilang sulit luar radius,-1
butuh yang untuk koneksi hasil pcr,butuh untuk koneksi hasil pcr,butuh koneksi hasil,0
baik menginstal ulang aplikasi masuk telah baru tidak bisa saya itu ubah pergi mobil saya etik jalan pesawat formulir harap dukung kembang laku jika milik yang,baik menginstal ulang aplikasi masuk baru tidak bisa itu ubah pergi mobil etik jalan pesawat formulir harap dukung kembang laku milik,baik ulang aplikasi masuk tidak bisa ubah pergi mobil etik jalan pesawat formulir harap dukung kembang laku milik,0
tolong fitur log out scan barcode,tolong fitur log out scan barcode,tolong log,-1
tolong developer jitak data masyarakat udah vaksin sertifikat sekarang tidak ilang gimana,tolong developer jitak data masyarakat udah vaksin sertifikat tidak ilang gimana,tolong developer jitak data masyarakat vaksin sertifikat tidak,-1
instal daftar cek list syarat tentu stlh ngeblang tidak respon,instal daftar cek list syarat stlh ngeblang tidak respon,daftar cek syarat tidak,0
tidak bisa isi kolom tanggal ulang coba tidak hasil saya sudah tidak nyala menginstalnya tetapi tidak hasil anda milik solusi itu itu buat saya jengkel frustasi,tidak bisa isi kolom tanggal ulang coba tidak hasil sudah tidak nyala menginstalnya tidak hasil milik solusi itu saya jengkel frustasi,tidak bisa isi kolom tanggal ulang coba tidak hasil tidak nyala tidak hasil milik solusi saya jengkel,-1
perintah otoritas jadi pindai status sehat belum pasuk gedung balik,perintah otoritas pindai status sehat pasuk gedung,perintah otoritas pindai status sehat pasuk gedung,0
aplikasi sampah bug,aplikasi sampah bug,aplikasi sampah,-1
kerja bagus hidup,kerja bagus hidup,kerja bagus hidup,1
update hp infinix tidak ubah tolong periksa thank you,update hp infinix tidak ubah tolong periksa thank you,tidak ubah tolong periksa,0
data vaksinasi belum idak terupdate masuk nik nama bilang tidak terdftar semnatraa sudha sertifikat vaksin rs y saya laku vaksin aplikasi muncul nama org tolong baik sistem ambil dukcapil data jangan salah guna saya hubung dan email sertifikat peduli lindung tidak respon nomer ekstension sibuk jam pun di telpon tidak,data vaksinasi idak terupdate masuk nik nama bilang tidak terdftar semnatraa sudha sertifikat vaksin rs y laku vaksin aplikasi muncul nama org tolong baik sistem ambil dukcapil data salah guna hubung email sertifikat peduli lindung tidak respon nomer ekstension sibuk jam di telpon tidak,data vaksinasi masuk nik nama bilang tidak sertifikat vaksin laku vaksin aplikasi muncul nama tolong baik sistem ambil data salah guna hubung email sertifikat peduli lindung tidak sibuk jam telpon tidak,-1
aplikasi bagus bisa dark mode lebih nyaman mata terimakasih kasih kerja keras salam,aplikasi bagus bisa dark mode nyaman mata terimakasih kasih kerja keras salam,aplikasi bagus bisa mode nyaman mata kasih kerja keras salam,1
repot,repot,repot,-1
sorry to say guna aplikasi tuh sih udah tidak uptodate ngisi tanggal lair aja mustii mundurr jauhhh gimana sih tidak canggih rugiii,sorry to say guna aplikasi tuh sih udah tidak uptodate ngisi tanggal lair aja mustii mundurr jauhhh gimana sih tidak canggih rugiii,guna aplikasi sih tidak tanggal aja gimana sih tidak canggih,-1
rusa alias error,rusa alias error,rusa alias,-1
bagus simple mudah guna,bagus simple mudah guna,bagus mudah guna,1
kagak bisa pakai lokasi lokasi,kagak bisa pakai lokasi lokasi,kagak bisa pakai lokasi lokasi,-1
muat,muat,muat,-1
seluruh bagus masalah tidak gulir layar pertama kali pilih bahasa mis samsung j series,bagus tidak gulir layar kali pilih bahasa mis samsung j series,bagus tidak gulir layar kali pilih bahasa series,0
update vaksin hilang hasil kerja asn sampah tidak kompeten,update vaksin hilang hasil kerja asn sampah tidak kompeten,vaksin hilang hasil kerja sampah tidak kompeten,-1
data hadap sama,data hadap,data hadap,0
aplikasi buruk pernah tiap kali coba itu tunjuk pindai kode qr gps aktif lebih baik baik sederhana,aplikasi buruk tiap kali coba tunjuk pindai kode qr gps aktif baik baik sederhana,aplikasi buruk kali coba pindai kode aktif baik baik sederhana,-1
status di aplikasi selalu merah sudah vaksin kali tidak kontak erat rumah hijau tidak kena covid tidak kontak yg bisa hubung selesai maaalah akibat selalu tolak masuk fasilitas publik rugi kembang tidak informasi jelas ttg cara bantu hal sudah kirim email tidak tanggap kesal,status aplikasi merah vaksin kali tidak kontak erat rumah hijau tidak kena covid tidak kontak bisa hubung selesai maaalah akibat tolak masuk fasilitas publik rugi kembang tidak informasi ttg bantu sudah kirim email tidak tanggap kesal,status aplikasi merah vaksin kali tidak kontak erat rumah hijau tidak kena tidak kontak bisa hubung selesai akibat tolak masuk fasilitas publik rugi kembang tidak informasi bantu kirim email tidak tanggap kesal,-1
urgen aplikasi tidak sepenuh full layar pas daftar tidak bisa login bagi layar harus pencet tidak masa gitu atuh neng,urgen aplikasi tidak sepenuh full layar pas daftar tidak bisa login layar pencet tidak gitu atuh neng,urgen aplikasi tidak sepenuh layar pas daftar tidak bisa layar pencet tidak neng,-1
sergap,sergap,sergap,0
tidak bisa lihat sertifikat vaksin suruh masuk nik nama,tidak bisa lihat sertifikat vaksin suruh masuk nik nama,tidak bisa lihat sertifikat vaksin suruh masuk nik nama,-1
kerja baik,kerja baik,kerja baik,1
aplikasi tidak guna turis siapa tidak milik id indonesia tidak vaksin covid yang anda milik luar negeri uji covid catat aplikasi tidak guna tidak begitu tetapi besar seperti bandara restoran aplikasi untuk guna paksa kerumit tidak sudah dukung bahasa inggris baru,aplikasi tidak guna turis tidak milik id indonesia tidak vaksin covid anda milik luar negeri uji covid catat aplikasi tidak guna tidak tetapi seperti bandara restoran aplikasi guna paksa kerumit tidak dukung bahasa inggris,aplikasi tidak guna turis tidak milik indonesia tidak vaksin milik luar negeri uji catat aplikasi tidak guna tidak seperti bandara restoran aplikasi guna paksa kerumit tidak dukung bahasa inggris,-1
wew tidak bisa pakai hp,wew tidak bisa pakai hp,tidak bisa pakai,-1
mudah,mudah,mudah,1
tidak masuk,tidak masuk,tidak masuk,-1
force close check out gps mati,force close check out gps mati,out mati,-1
tidak bisa masuk logout aplikasi telah centang kotak dengan tentu guna bijak privasi tidak gulir bawah dapat tombol tuju lanjut layar masalah dari telepon dari aplikasi saya saran untuk baik mungkin aplikasi guna atur,tidak bisa masuk logout aplikasi centang kotak tentu guna bijak privasi tidak gulir dapat tombol tuju layar telepon dari aplikasi saran baik aplikasi guna atur,tidak bisa masuk aplikasi centang kotak guna bijak privasi tidak gulir tombol tuju layar telepon aplikasi saran baik aplikasi guna atur,-1
bagus,bagus,bagus,1
respons sangat lambat,respons lambat,respons lambat,-1
tidak bisa check in bilang luar area gps d nyala sudah coba tmpt mohon baik versi padahal tidak,tidak bisa check in bilang luar area gps d nyala coba tmpt mohon baik versi tidak,tidak bisa bilang luar area nyala coba mohon baik versi tidak,-1
sertifikat vaksin,sertifikat vaksin,sertifikat vaksin,0
bagus,bagus,bagus,1
sertifikat tidak,sertifikat tidak,sertifikat tidak,-1
banyak salah,salah,salah,-1
kerja bagus baik baru,kerja bagus baik,kerja bagus baik,1
baru tidak tombol kirim tuju warga negara indonesia,tidak tombol kirim tuju warga negara indonesia,tidak tombol kirim tuju warga negara indonesia,-1
sertif vaksin tidak gambar sudah november sudah vaksin mei,sertif vaksin tidak gambar november vaksin mei,vaksin tidak gambar november vaksin mei,-1
relatif manfaat izin usul aplikasi lebih bisa manfaat apabila integrasi pmi kait info catat donor darah donor recording donor darah donor bisa digital terimakasih,relatif manfaat izin usul aplikasi bisa manfaat integrasi pmi kait info catat donor darah donor recording donor darah donor bisa digital terimakasih,relatif manfaat izin usul aplikasi bisa manfaat integrasi kait info catat donor darah donor donor darah donor bisa digital,0
tombol tuju tidak lihat hape asus zenfone laser layar tidak bisa klik tuju masuk aplikasi sungguh buruk buah aplikasi buat uang rakyat silah baik maksimal tidak orang punya hape layar lebar jidat,tombol tuju tidak lihat hape asus zenfone laser layar tidak bisa klik tuju masuk aplikasi sungguh buruk buah aplikasi uang rakyat silah baik maksimal tidak orang hape layar lebar jidat,tombol tuju tidak lihat laser layar tidak bisa klik tuju masuk aplikasi sungguh buruk buah aplikasi uang rakyat silah baik maksimal tidak orang layar lebar jidat,-1
guna tidak temu,guna tidak temu,guna tidak temu,-1
design app nya bagus tg yg ko mundur,design app nya bagus tg ko mundur,bagus mundur,-1
aplikasi buruk tidak dukung,aplikasi buruk tidak dukung,aplikasi buruk tidak dukung,-1
tombol tuju potong tidak bisa klik tidak bisa login versi aplikasi software hp sudah versi baru,tombol tuju potong tidak bisa klik tidak bisa login versi aplikasi software hp versi,tombol tuju potong tidak bisa klik tidak bisa versi aplikasi versi,-1
saya stuck term and condition yg versi kemarin lbh baik,stuck term and condition versi kemarin lbh baik,term versi kemarin baik,-1
tempo sertifikat caksin ada cek malah hilang harus masuk nik melulu cek tolong baik donk bugnya susah,tempo sertifikat caksin cek hilang masuk nik melulu cek tolong baik donk bugnya susah,tempo sertifikat cek hilang masuk nik melulu cek tolong baik susah,-1
jelek,jelek,jelek,-1
oke,oke,oke,1
otp pakai no hp gagal pakai email otp tunggu jg tidak email yg tidak teknisi yg bisa baik tidak pegawai yg bisa baik buat bikin aplikasi,otp pakai no hp gagal pakai email otp tunggu jg tidak email tidak teknisi bisa baik tidak pegawai bisa baik bikin aplikasi,pakai gagal pakai email tunggu tidak email tidak teknisi bisa baik tidak pegawai bisa baik bikin aplikasi,-1
aplikasi customer service parah jawab tidak silah faskes silah klinik klinik faskes biasa tidak ada masalah letakny peduli lindung tidak terimakasih input solusi bisa kasih dbwh bintang akan sy beri bintan,aplikasi customer service parah tidak silah faskes silah klinik klinik faskes tidak masalah letakny peduli lindung tidak terimakasih input solusi bisa kasih dbwh bintang sy bintan,aplikasi parah tidak silah silah klinik klinik tidak peduli lindung tidak solusi bisa kasih bintang bintan,-1
aplikasi dan layan langgan paling tidak guna,aplikasi layan langgan tidak guna,aplikasi layan langgan tidak guna,-1
tidak erti mungkin gagal unduh aplikasi tidak bisa lang jauh minta saya pilih asing lokal tetapi telah saya pilih terima syarat tidak dapat gulir masuk aplikasi daftar indonesia force untuk guna aplikasi tetapi aplikasi tidak fungsi,tidak erti gagal unduh aplikasi tidak bisa lang minta pilih asing lokal telah pilih terima syarat tidak gulir masuk aplikasi daftar indonesia force guna aplikasi aplikasi tidak fungsi,tidak erti gagal unduh aplikasi tidak bisa lang pilih asing lokal pilih terima syarat tidak gulir masuk aplikasi daftar indonesia guna aplikasi aplikasi tidak fungsi,-1
gagal kali sesuatu gps telah hidup mati gps ribu kali tidak fungsi butuh baik maaf,gagal kali gps hidup mati gps ribu kali tidak fungsi butuh baik maaf,gagal kali hidup mati ribu kali tidak fungsi butuh baik maaf,-1
abis pencet tuju privacy policy trus tidak bisa tolong susah orang sekali,abis pencet tuju privacy policy trus tidak bisa tolong susah orang,abis pencet tuju tidak bisa tolong susah orang,-1
tolong ada salah input hasil tes sudah baik mohon status langsung ubah hijau hitam lama hal sangat rugi guna tidak bisa unjung fasum,tolong salah input hasil tes baik mohon status langsung ubah hijau hitam hal rugi guna tidak bisa unjung fasum,tolong salah hasil tes baik mohon status langsung ubah hijau hitam rugi guna tidak bisa unjung,-1
udah vaksin dosis status,udah vaksin dosis status,vaksin dosis status,1
